Symbol,Date,Expiry,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Open Int,Change in OI,Underlying Value
RANBAXY,13-Mar-13,28-Mar-13,280,0,0,0,226.25,0,141.1,0,0,0,0,420
RANBAXY,13-Mar-13,28-Mar-13,300,0,0,0,206.7,0,121.15,0,0,0,0,420
RANBAXY,13-Mar-13,28-Mar-13,320,0,0,0,187.1,0,101.25,0,0,0,0,420
RANBAXY,13-Mar-13,28-Mar-13,340,0,0,0,52,52,81.4,0,0,500,0,420
RANBAXY,13-Mar-13,28-Mar-13,360,0,0,0,60,60,61.8,0,0,11500,0,420
RANBAXY,13-Mar-13,28-Mar-13,380,39,44.5,39,42.35,42.35,42.35,20,42.29,42500,-4000,420
RANBAXY,13-Mar-13,28-Mar-13,400,25,28.05,22,25.15,24.75,25.15,93,197.85,84000,-15000,420
RANBAXY,13-Mar-13,28-Mar-13,420,12,14.2,10.5,12,12,12,694,1500.54,148500,-33500,420
RANBAXY,13-Mar-13,28-Mar-13,440,5,5.85,4.15,4.85,4.6,4.85,226,502.96,163500,-3500,420
RANBAXY,13-Mar-13,28-Mar-13,460,1.8,2.1,1.6,1.65,1.6,1.65,63,145.47,79500,-9500,420
