Date,Open,High,Low,Close,Prev. Close,Change,% Change,
01-Jan-2013,       14.95,       14.95,       13.64,       13.69,       14.95,       -1.26,  -8.43,
02-Jan-2013,       13.69,       13.91,       12.99,       13.71,       13.69,        0.02,   0.15,
03-Jan-2013,       13.71,       13.94,       13.22,       13.47,       13.71,       -0.24,  -1.75,
04-Jan-2013,       13.47,       13.63,       13.28,       13.37,       13.47,       -0.10,  -0.74,
07-Jan-2013,       13.37,       14.04,       13.37,       13.92,       13.37,        0.55,   4.11,
08-Jan-2013,       13.92,       14.06,       13.21,       13.27,       13.92,       -0.65,  -4.67,
09-Jan-2013,       13.27,       13.56,       12.58,       13.32,       13.27,        0.05,   0.38,
10-Jan-2013,       13.32,       13.63,       12.85,       13.27,       13.32,       -0.05,  -0.38,
11-Jan-2013,       13.27,       13.35,       12.83,       13.23,       13.27,       -0.04,  -0.30,
14-Jan-2013,       13.23,       14.02,       13.22,       13.70,       13.23,        0.47,   3.55,
15-Jan-2013,       13.70,       14.00,       13.34,       13.58,       13.70,       -0.12,  -0.88,
16-Jan-2013,       13.58,       14.14,       13.06,       13.99,       13.58,        0.41,   3.02,
17-Jan-2013,       13.99,       14.25,       13.66,       14.01,       13.99,        0.02,   0.14,
18-Jan-2013,       14.01,       14.26,       13.25,       13.89,       14.01,       -0.12,  -0.86,
21-Jan-2013,       13.89,       14.39,       13.63,       13.66,       13.89,       -0.23,  -1.66,
22-Jan-2013,       13.66,       14.06,       12.90,       13.89,       13.66,        0.23,   1.68,
23-Jan-2013,       13.89,       14.28,       13.13,       13.67,       13.89,       -0.22,  -1.58,
24-Jan-2013,       13.67,       14.55,       12.84,       14.46,       13.67,        0.79,   5.78,
25-Jan-2013,       14.46,       14.98,       14.32,       14.77,       14.46,        0.31,   2.14,
28-Jan-2013,       14.77,       15.49,       14.41,       15.17,       14.77,        0.40,   2.71,
29-Jan-2013,       15.17,       15.28,       14.28,       14.47,       15.17,       -0.70,  -4.61,
30-Jan-2013,       14.47,       14.68,       14.05,       14.38,       14.47,       -0.09,  -0.62,
31-Jan-2013,       14.38,       14.54,       13.65,       14.13,       14.38,       -0.25,  -1.74,
01-Feb-2013,       14.13,       14.18,       13.76,       13.76,       14.13,       -0.37,  -2.62,
04-Feb-2013,       13.76,       14.62,       13.51,       14.34,       13.76,        0.58,   4.22,
05-Feb-2013,       14.34,       14.83,       14.11,       14.61,       14.34,        0.27,   1.88,
06-Feb-2013,       14.61,       14.61,       14.10,       14.26,       14.61,       -0.35,  -2.40,
07-Feb-2013,       14.26,       14.89,       13.56,       14.89,       14.26,        0.63,   4.42,
08-Feb-2013,       14.89,       15.22,       13.75,       15.16,       14.89,        0.27,   1.81,
11-Feb-2013,       15.16,       15.74,       14.96,       15.65,       15.16,        0.49,   3.23,
12-Feb-2013,       15.65,       15.71,       14.98,       15.31,       15.65,       -0.34,  -2.17,
13-Feb-2013,       15.31,       15.31,       14.47,       15.14,       15.31,       -0.17,  -1.11,
14-Feb-2013,       15.14,       15.52,       14.67,       15.09,       15.14,       -0.05,  -0.33,
15-Feb-2013,       15.09,       15.49,       14.13,       15.24,       15.09,        0.15,   0.99,
18-Feb-2013,       15.24,       16.61,       15.24,       16.29,       15.24,        1.05,   6.89,
19-Feb-2013,       16.29,       16.50,       15.48,       15.81,       16.29,       -0.48,  -2.95,
20-Feb-2013,       15.81,       16.01,       14.88,       15.60,       15.81,       -0.21,  -1.33,
21-Feb-2013,       15.60,       17.25,       15.25,       16.94,       15.60,        1.34,   8.59,
22-Feb-2013,       16.94,       17.29,       16.36,       16.79,       16.94,       -0.15,  -0.89,
25-Feb-2013,       16.79,       17.33,       16.61,       16.73,       16.79,       -0.06,  -0.36,
26-Feb-2013,       16.73,       17.60,       16.47,       17.36,       16.73,        0.63,   3.77,
27-Feb-2013,       17.36,       17.36,       16.11,       16.23,       17.36,       -1.13,  -6.51,
28-Feb-2013,       16.23,       16.23,       14.59,       14.86,       16.23,       -1.37,  -8.44,
01-Mar-2013,       14.86,       15.09,       13.93,       14.06,       14.86,       -0.80,  -5.38,
04-Mar-2013,       14.06,       14.51,       13.67,       13.67,       14.06,       -0.39,  -2.77,
05-Mar-2013,       13.67,       13.74,       13.22,       13.39,       13.67,       -0.28,  -2.05,
06-Mar-2013,       13.39,       13.60,       12.90,       13.40,       13.39,        0.01,   0.07,
07-Mar-2013,       13.40,       13.62,       12.83,       13.07,       13.40,       -0.33,  -2.46,
08-Mar-2013,       12.85,       13.58,       12.85,       13.34,       13.07,        0.27,   2.07,
11-Mar-2013,       13.34,       14.32,       13.12,       14.25,       13.34,        0.91,   6.82,
12-Mar-2013,       14.25,       15.67,       13.70,       15.13,       14.25,        0.88,   6.18,
13-Mar-2013,       15.13,       16.43,       14.69,       16.20,       15.13,        1.07,   7.07,
14-Mar-2013,       16.20,       17.16,       14.58,       14.66,       16.20,       -1.54,  -9.51,
15-Mar-2013,       14.66,       15.29,       14.19,       15.16,       14.66,        0.50,   3.41,
18-Mar-2013,       15.16,       16.59,       15.16,       15.85,       15.16,        0.69,   4.55,
19-Mar-2013,       15.85,       17.84,       14.83,       16.71,       15.85,        0.86,   5.43,
20-Mar-2013,       16.71,       17.44,       16.17,       16.66,       16.71,       -0.05,  -0.30,
21-Mar-2013,       16.66,       17.24,       15.90,       16.51,       16.66,       -0.15,  -0.90,
22-Mar-2013,       16.51,       16.51,       15.45,       15.54,       16.51,       -0.97,  -5.88,
25-Mar-2013,       15.54,       16.36,       14.92,       16.36,       15.54,        0.82,   5.28,
26-Mar-2013,       16.36,       16.84,       15.64,       15.80,       16.36,       -0.56,  -3.42,
28-Mar-2013,       15.80,       16.20,       15.22,       15.22,       15.80,       -0.58,  -3.67,
